ID	K	P	C	O	F	G	S	BIOPROJECT	Group	completeness	contamination	strain_heterogeneity	length	N50	centrality
SRR17301522_bin.27	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Anaerotignaceae	g__Metalachnospira	s__Metalachnospira sp900546215	PRJNA791492	Healthy	87.27	1.96	0.0	2020928	4143	0.0
SRR17301522_bin.5	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Holdemania	s__Holdemania massiliensis	PRJNA791492	Healthy	87.89	3.17	0.0	2762896	4655	0.0
SRR17301524_bin.13	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__	PRJNA791492	Healthy	83.54	1.16	33.33	1850474	6949	0.0
SRR17301525_bin.13	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella sp003464565	PRJNA791492	Healthy	92.29	2.13	40.0	1973573	10407	0.0
SRR17301525_bin.38	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Alangreenwoodia	s__Alangreenwoodia sp905206455	PRJNA791492	Healthy	85.66	1.54	25.0	1914398	5068	0.0
SRR17301525_bin.46	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Acutalibacter	s__Acutalibacter stercoravium	PRJNA791492	Healthy	97.65	0.34	100.0	2330143	15846	0.9768185
SRR17301525_bin.9	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp003447235	PRJNA791492	Healthy	94.84	0.63	80.0	2400854	9026	0.0
SRR17301526_bin.12	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA3402	s__UBA3402 sp003478355	PRJNA791492	Healthy	94.78	0.63	0.0	2796017	16048	0.9796403333333333
SRR17301526_bin.37	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola_A	s__Phocaeicola_A sp900291465	PRJNA791492	Healthy	89.74	0.45	100.0	3268287	26546	0.0
SRR17301526_bin.39	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-170	s__CAG-170 sp937967235	PRJNA791492	Healthy	92.77	0.0	0.0	1881346	33540	0.965694
SRR17301526_bin.4	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Aristaeellaceae	g__Limiplasma	s__Limiplasma sp004556545	PRJNA791492	Healthy	94.53	2.98	50.0	2829589	14063	0.0
SRR17301526_bin.46	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-488	s__CAG-488 sp000434055	PRJNA791492	Healthy	94.83	0.0	0.0	2066088	25343	0.973641
SRR17301528_bin.5	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides massiliensis	PRJNA791492	Healthy	87.02	4.42	77.78	3461534	13344	0.0
SRR17301528_bin.8	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella sp905202925	PRJNA791492	Healthy	91.41	0.0	0.0	2034114	13432	0.0
SRR17301529_bin.26	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__Eisenbergiella porci	PRJNA791492	Healthy	96.26	1.81	33.33	6268974	24459	0.982397
SRR17301529_bin.28	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Hungatella	s__Hungatella effluvii	PRJNA791492	Healthy	94.8	1.9	60.0	6178785	18066	0.0
SRR17301529_bin.32	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	s__Blautia sp000432195	PRJNA791492	Healthy	96.03	1.49	66.67	2882576	13038	0.0
SRR17301529_bin.34	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Intestinimonas	s__Intestinimonas massiliensis	PRJNA791492	Healthy	84.19	0.0	0.0	2431542	25299	0.0
SRR17301530_bin.14	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus_A	s__Coprococcus_A catus_A	PRJNA791492	Healthy	96.31	0.13	100.0	2583264	34195	0.9820318333333334
SRR17301530_bin.2	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__HGM13006	s__HGM13006 sp900756575	PRJNA791492	Healthy	98.66	0.67	0.0	2852159	31253	0.0
SRR17301530_bin.5	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__RF39	f__UBA660	g__CAJOJO01	s__CAJOJO01 sp900546745	PRJNA791492	Healthy	88.76	0.0	0.0	1205806	5663	0.0
SRR17301531_bin.1	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Hominicoprocola	s__Hominicoprocola fusiformis	PRJNA791492	Healthy	98.66	0.0	0.0	2081164	25303	0.9783692500000003
SRR17301531_bin.16	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerobutyricum	s__Anaerobutyricum hallii	PRJNA791492	Healthy	92.62	1.17	33.33	2698235	16458	0.9810842857142857
SRR17301531_bin.2	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A fusiformis	PRJNA791492	Healthy	87.73	0.95	50.0	2493311	35728	0.9754359999999999
SRR17301531_bin.32	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides cellulosilyticus	PRJNA791492	Healthy	93.73	0.56	0.0	6007105	38194	0.9797724999999999
SRR17301532_bin.10	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Enorma	s__Enorma massiliensis	PRJNA791492	Healthy	96.24	2.42	33.33	2115872	12514	0.0
SRR17301532_bin.15	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp000436615	PRJNA791492	Healthy	93.04	1.74	40.0	2703249	15421	0.987559
SRR17301532_bin.19	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Coprobacillaceae	g__Faecalibacillus	s__Faecalibacillus faecis	PRJNA791492	Healthy	86.03	1.42	50.0	2198590	4896	0.975382
SRR17301533_bin.30	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_G	s__Eubacterium_G segne	PRJNA791492	Healthy	93.06	0.24	50.0	2223794	17586	0.0
SRR17301534_bin.21	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Fusicatenibacter	s__Fusicatenibacter saccharivorans	PRJNA791492	Healthy	98.91	0.79	50.0	2914033	36865	0.978982880952381
SRR17301534_bin.24	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes_A	s__Alistipes_A merdigallinarum	PRJNA791492	Healthy	96.31	0.48	0.0	2443369	43929	0.0
SRR17301534_bin.3	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Hungatella_A	s__Hungatella_A hathewayi_A	PRJNA791492	Healthy	89.66	1.58	0.0	4987615	11487	0.0
SRR17301534_bin.39	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Faecalitalea	s__Faecalitalea cylindroides	PRJNA791492	Healthy	95.42	2.2	0.0	1740260	15578	0.0
SRR17301534_bin.4	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Anaerotardibacter	s__Anaerotardibacter sp000435475	PRJNA791492	Healthy	98.79	1.67	80.0	1886649	18769	0.978135
SRR17301534_bin.44	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__HGM13222	s__HGM13222 sp900757485	PRJNA791492	Healthy	91.44	0.06	100.0	2753277	19761	0.0
SRR17301534_bin.45	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__HGM12998	s__HGM12998 sp900756495	PRJNA791492	Healthy	99.1	3.13	100.0	3232488	37239	0.0
SRR17301534_bin.56	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__	PRJNA791492	Healthy	95.16	0.81	0.0	2315241	33824	0.948481
SRR17301534_bin.6	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__UMGS973	s__UMGS973 sp900547295	PRJNA791492	Healthy	85.73	0.89	50.0	2113642	7313	0.0
SRR17301534_bin.60	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-103	s__CAG-103 sp900543625	PRJNA791492	Healthy	92.98	1.01	50.0	1955307	23684	0.9662461250000001
SRR17301534_bin.65	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Onthomonas	s__	PRJNA791492	Healthy	92.39	0.0	0.0	1806270	15217	0.0
SRR17301534_bin.7	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio sp900556755	PRJNA791492	Healthy	98.16	0.66	0.0	2681585	13847	0.9841747999999999
SRR17301534_bin.9	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides caccae	PRJNA791492	Healthy	97.21	1.09	33.33	4613890	24136	0.0
SRR17301535_bin.1	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__CABRXV01	s__CABRXV01 sp900754955	PRJNA791492	Healthy	96.77	0.0	0.0	2070944	39505	0.0
SRR17301535_bin.11	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Butyricicoccus	s__Butyricicoccus sp900604335	PRJNA791492	Healthy	81.88	1.68	0.0	1876671	6538	0.0
SRR17301535_bin.12	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Agathobaculum	s__Agathobaculum ammoniilyticum	PRJNA791492	Healthy	88.58	1.34	0.0	1965550	6621	0.0
SRR17301535_bin.16	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	s__Blautia hominis	PRJNA791492	Healthy	93.65	0.32	0.0	5284509	29258	0.0
SRR17301535_bin.17	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerobutyricum	s__Anaerobutyricum soehngenii	PRJNA791492	Healthy	95.84	2.01	0.0	3643432	13321	0.9780005
SRR17301535_bin.20	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A caecimuris	PRJNA791492	Healthy	95.02	0.97	0.0	2728571	18515	0.0
SRR17301535_bin.22	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Sellimonas	s__Sellimonas catena	PRJNA791492	Healthy	97.08	1.58	0.0	2877104	26150	0.0
SRR17301535_bin.6	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UMGS1071	s__UMGS1071 sp900542375	PRJNA791492	Healthy	96.62	1.01	0.0	1881983	12831	0.9845262
SRR17301535_bin.7	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A acetigignens	PRJNA791492	Healthy	92.11	2.22	83.33	3089673	17330	0.0
SRR17301536_bin.13	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus cremoris	PRJNA791492	PCOS	88.49	1.01	50.0	1868768	6495	0.0
SRR17301537_bin.16	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Senegalimassilia	s__Senegalimassilia anaerobia	PRJNA791492	PCOS	97.06	0.81	100.0	1987624	25736	0.97437
SRR17301537_bin.8	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Anaerotardibacter	s__Anaerotardibacter sp000435675	PRJNA791492	PCOS	92.7	0.89	100.0	1486723	8387	0.0
SRR17301538_bin.11	d__Bacteria	p__Bacillota	c__Bacilli	o__MOL361	f__Turicibacteraceae	g__Turicibacter	s__Turicibacter sanguinis	PRJNA791492	PCOS	83.13	2.16	57.14	2499880	11388	0.0
SRR17301539_bin.3	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis	PRJNA791492	PCOS	94.58	1.44	71.43	4173732	16389	0.98643375
SRR17301539_bin.4	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus mucosae	PRJNA791492	PCOS	85.15	0.9	66.67	1555634	3951	0.0
SRR17301539_bin.8	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Eggerthella	s__Eggerthella lenta	PRJNA791492	PCOS	93.55	0.0	0.0	2876434	11569	0.9759553333333333
SRR17301540_bin.10	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lacticaseibacillus	s__Lacticaseibacillus paracasei	PRJNA791492	PCOS	95.33	2.45	72.73	2792173	7328	0.978197
SRR17301540_bin.18	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Eubacterium	s__Eubacterium callanderi	PRJNA791492	PCOS	95.77	2.11	50.0	3827539	10558	0.0
SRR17301540_bin.22	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Sellimonas	s__Sellimonas intestinalis	PRJNA791492	PCOS	94.78	1.8	66.67	2573564	13594	0.988168
SRR17301540_bin.34	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Lentihominibacter	s__Lentihominibacter butyrica	PRJNA791492	PCOS	94.33	0.78	0.0	2052778	9801	0.985483
SRR17301540_bin.4	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Gordonibacter	s__Gordonibacter urolithinfaciens	PRJNA791492	PCOS	81.08	5.65	75.0	2875643	5304	0.0
SRR17301540_bin.8	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Granulimonas	s__	PRJNA791492	PCOS	98.52	0.16	100.0	2161528	14604	0.0
SRR17301540_bin.9	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Lentihominibacter	s__Lentihominibacter faecis	PRJNA791492	PCOS	86.25	0.0	0.0	1662507	9995	0.0
SRR17301541_bin.19	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__	PRJNA791492	PCOS	100.0	1.61	50.0	2184065	25289	0.0
SRR17301541_bin.38	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-245	s__CAG-245 sp000435175	PRJNA791492	PCOS	94.74	5.74	0.0	1436649	15310	0.0
SRR17301541_bin.7	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Evtepia	s__Evtepia excrementipullorum	PRJNA791492	PCOS	93.74	2.95	16.67	2117569	7106	0.0
SRR17301542_bin.2	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella sp902364775	PRJNA791492	PCOS	92.47	1.28	66.67	1558360	13192	0.0
SRR17301543_bin.10	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	s__Blautia stercoris	PRJNA791492	PCOS	87.92	0.21	100.0	2574631	12998	0.979489
SRR17301543_bin.5	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Raoultibacter	s__Raoultibacter timonensis	PRJNA791492	PCOS	98.84	1.21	50.0	3829559	38304	0.0
SRR17301544_bin.15	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__CALADF01	s__	PRJNA791492	PCOS	87.76	3.83	71.43	1731283	6075	0.0
SRR17301544_bin.27	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Paratractidigestivibacter	s__Paratractidigestivibacter faecalis	PRJNA791492	PCOS	94.18	2.11	100.0	1922382	6817	0.0
SRR17301545_bin.16	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	s__Blautia celeris	PRJNA791492	PCOS	92.09	2.44	60.0	5415950	15389	0.0
SRR17301545_bin.17	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella stercoripullorum	PRJNA791492	PCOS	99.03	1.21	100.0	2364109	20944	0.974668
SRR17301545_bin.19	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus pasteurianus	PRJNA791492	PCOS	98.6	0.37	100.0	1909680	22780	0.982436
SRR17301545_bin.2	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Coprobacillaceae	g__Thomasclavelia	s__Thomasclavelia spiroformis	PRJNA791492	PCOS	89.92	1.18	50.0	2690875	5183	0.0
SRR17301545_bin.7	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium_AQ	s__Clostridium_AQ innocuum	PRJNA791492	PCOS	96.7	0.0	0.0	3860192	10924	0.9857298
SRR17301546_bin.14	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Faecalimonas	s__Faecalimonas umbilicata	PRJNA791492	PCOS	93.77	0.74	50.0	2067696	9164	0.982967
SRR17301546_bin.15	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus macedonicus	PRJNA791492	PCOS	94.73	0.5	100.0	1660050	16384	0.0
